S No,C1,C2
1,Appeal,Appeal
2,Address,Address
3,Update,Update
4,Update,Generic
5,Generic,Generic
6,Update,Address
7,Address,Address
8,Congratulation,Gratitude
9,Congratulation,Congratulation
10,Greetings,Greetings
11,Greetings,Greetings
12,Greetings,Appeal
13,Update,Generic
14,Update,Update
15,Update,Update
16,Update,Generic
17,Greetings,Greetings
18,Address,Address
19,Congratulation,Congratulation
20,Endorsement,Endorsement
21,Address,Address
22,Address,Generic
23,Address,Update
24,Address,Address
25,Greetings,Greetings
26,Update,Update
27,Generic,Generic
28,Generic,Generic
29,Greetings,Greetings
30,Congratulation,Congratulation
31,Update,Update
32,Update,Address
33,Greetings,Greetings
34,Greetings,Greetings
35,Greetings,Greetings
36,Greetings,Greetings
37,Greetings,Greetings
38,Greetings,Greetings
39,Greetings,Greetings
40,Greetings,Greetings
41,Greetings,Greetings
42,Greetings,Greetings
43,Greetings,Greetings
44,Greetings,Greetings
45,Greetings,Greetings
46,Greetings,Greetings
47,Greetings,Greetings
48,Greetings,Greetings
49,Endorsement,Appeal
50,Appeal,Appeal
51,Update,Appeal
52,Tribute,Tribute
53,Tribute,Tribute
54,Tribute,Tribute
55,Congratulation,Update
56,Update,Generic
57,Update,Update
58,Congratulation,Congratulation
59,Endorsement,Appeal
60,Endorsement,Appeal
61,Endorsement,Endorsement
62,Tribute,Tribute
63,Update,Update
64,Update,Generic
65,Update,Generic
66,Update,Generic
67,Update,Update
68,Appeal,Appeal
69,Appeal,Appeal
70,Update,Update
71,Update,Update
72,Update,Update
73,Update,Gratitude
74,Update,Update
75,Endorsement,Generic
76,Achievement,Congratulation
77,Achievement,Achievement
78,Address,Generic
79,Address,Endorsement
80,Address,Address
81,Greetings,Greetings
82,Greetings,Greetings
83,Update,Update
84,Update,Generic
85,Update,Update
86,Address,Appeal
87,Address,Generic
88,Address,Update
89,Greetings,Tribute
90,Greetings,Tribute
91,Endorsement,Endorsement
92,Address,Update
93,Address,Generic
94,Address,Address
95,Congratulation,Congratulation
96,Tribute,Tribute
97,Tribute,Tribute
98,Appeal,Appeal
99,Tribute,Congratulation
100,Greetings,Greetings
101,Endorsement,Endorsement
102,Update,Tribute
103,Greetings,Greetings
104,Update,Generic
105,Generic,Generic
106,Generic,Generic
107,Appeal,Appeal
108,Generic,Generic
109,Generic,Generic
110,Generic,Generic
111,Generic,Generic
112,Generic,Generic
113,Generic,Generic
114,Congratulation,Congratulation
115,Update,Update
116,Update,Update
117,Update,Update
118,Update,Update
119,Update,Update
120,Greetings,Tribute
121,Tribute,Tribute
122,Update,Address
123,Update,Address
124,Update,Appeal
125,Update,Update
126,Update,Update
127,Address,Address
128,Tribute,Tribute
129,Greetings,Gratitude
130,Endorsement,Endorsement
131,Endorsement,Endorsement
132,Endorsement,Endorsement
133,Endorsement,Gratitude
134,Endorsement,Endorsement
135,Generic,Generic
136,Greetings,Generic
137,Gratitude,Generic
138,Update,Generic
139,Generic,Update
140,Generic,Update
141,Endorsement,Endorsement
142,Update,Update
143,Update,Address
144,Update,Update
145,Condolence,Condolence
146,Condolence,Tribute
147,Endorsement,Endorsement
148,Greetings,Greetings
149,Greetings,Greetings
150,Achievement,Generic
151,Update,Update
152,Update,Update
153,Address,Address
154,Update,Update
155,Update,Update
156,Generic,Generic
157,Congratulation,Congratulation
158,Appeal,Appeal
159,Greetings,Greetings
160,Endorsement,Greetings
161,Appeal,Appeal
162,Tribute,Tribute
163,Greetings,Greetings
164,Tribute,Tribute
165,Tribute,Tribute
166,Tribute,Tribute
167,Tribute,Tribute
168,Tribute,Tribute
169,Appeal,Appeal
170,Tribute,Update
171,Tribute,Tribute
172,Tribute,Tribute
173,Tribute,Tribute
174,Tribute,Tribute
175,Tribute,Tribute
176,Tribute,Tribute
177,Tribute,Tribute
178,Tribute,Tribute
179,Tribute,Tribute
180,Tribute,Tribute
181,Tribute,Tribute
182,Tribute,Tribute
183,Tribute,Tribute
184,Tribute,Tribute
185,Tribute,Tribute
186,Tribute,Tribute
187,Tribute,Tribute
188,Tribute,Tribute
189,Tribute,Tribute
190,Tribute,Tribute
191,Tribute,Tribute
192,Congratulation,Congratulation
193,Update,Update
194,Tribute,Tribute
195,Tribute,Tribute
196,Tribute,Tribute
197,Tribute,Tribute
198,Condolence,Condolence
199,Condolence,Condolence
200,Condolence,Condolence
201,Endorsement,Update
202,Endorsement,Update
203,Endorsement,Endorsement
204,Endorsement,Endorsement
205,Endorsement,Endorsement
206,Endorsement,Endorsement
207,Endorsement,Endorsement
208,Achievement,Achievement
209,Greetings,Greetings
210,Greetings,Greetings
211,Greetings,Greetings
212,Achievement,Achievement
213,Achievement,Achievement
214,Congratulation,Congratulation
215,Achievement,Achievement
216,Achievement,Achievement
217,Achievement,Achievement
218,Achievement,Achievement
219,Achievement,Achievement
220,Appeal,Generic
221,Appeal,Appeal
222,Appeal,Appeal
223,Update,Update
224,Update,Update
225,Update,Update
226,Update,Update
227,Generic,Generic
228,Generic,Generic
229,Generic,Generic
230,Generic,Generic
231,Generic,Generic
232,Generic,Generic
233,Generic,Generic
234,Generic,Generic
235,Generic,Update
236,Generic,Address
237,Condolence,Condolence
238,Condolence,Condolence
239,Tribute,Update
240,Tribute,Tribute
241,Update,Update
242,Update,Update
243,Endorsement,Endorsement
244,Generic,Update
245,Congratulation,Congratulation
246,Congratulation,Greetings
247,Greetings,Greetings
248,Tribute,Tribute
249,Generic,Greetings
250,Update,Update
251,Greetings,Greetings
252,Greetings,Greetings
253,Greetings,Greetings
254,Greetings,Greetings
255,Greetings,Greetings
256,Greetings,Greetings
257,Greetings,Greetings
258,Greetings,Greetings
259,Greetings,Greetings
260,Greetings,Greetings
261,Tribute,Tribute
262,Tribute,Tribute
263,Tribute,Tribute
264,Tribute,Tribute
265,Tribute,Tribute
266,Tribute,Update
267,Tribute,Tribute
268,Tribute,Tribute
269,Tribute,Tribute
270,Appeal,Tribute
271,Appeal,Appeal
272,Tribute,Endorsement
273,Tribute,Tribute
274,Tribute,Tribute
275,Congratulation,Congratulation
276,Congratulation,Congratulation
277,Update,Endorsement
278,Address,Address
279,Update,Update
280,Update,Update
281,Update,Update
282,Update,Update
283,Update,Update
284,Update,Update
285,Update,Update
286,Update,Update
287,Update,Generic
288,Update,Update
289,Update,Generic
290,Update,Address
291,Update,Update
292,Update,Update
293,Update,Update
294,Update,Update
295,Update,Update
296,Update,Update
297,Address,Address
298,Update,Update
299,Update,Update
300,Congratulation,Congratulation
301,Endorsement,Endorsement
302,Endorsement,Endorsement
303,Endorsement,Endorsement
304,Endorsement,Endorsement
305,Endorsement,Endorsement
306,Tribute,Tribute
307,Appeal,Appeal
308,Generic,Generic
